Shipment_ID,Order_ID,Customer_ID,Customer_Name,Email,Phone,City,Country,Region,Postal_Code,Product_ID,Product_Name,Category,Weight_kg,Quantity,Unit_Price,Total_Price,Shipment_Date,Delivery_Date,Delay_Days,Status,Delivery_Mode,Vehicle_ID,Driver_Name,Transport_Type,Route_ID,Fuel_Cost,Distance_km,Delivery_Center,Warehouse_Name,Manager_Name,Order_Priority,Payment_Mode,Insurance,Return_Status,Remarks,Revenue,Delivery_Duration,Fuel_Efficiency,Profit,Delay_Flag,Urgency_Level,Payment_Mode_Encoded,Order_Priority_Encoded,valid
S734726,O77929,C3183,Michael Brown,amit@gmail.com,917852158344,Chennai,UK,Unknown,400001.0,P3552,Headphones,Food,43.04033132667569,10.0,2473.7388485041297,18639.484645313456,2023-01-17,2023-07-27,4.0,In Transit,Road,V529,Mr. Rao,Unknown,R213,352.5252197417602,1009.2353840107952,Unknown,North Hub,Mr. Khan,High,Card,Unknown,Pending,No Remarks,24737.388485041298,191 days,2.8628742781866876,18286.959425571695,Yes,Urgent,6.0,3.0,False
S728975,O40008,C3098,Jane Smith,amit@gmail.com,918298796637,Mumbai,Unknown,East,600001.0,P7970,Headphones,Electronics,29.47729944970517,11.0,1937.4876677627856,79017.03622621998,2020-09-10,2024-08-04,13.0,Cancelled,Rail,V153,Mr. Lee,Cargo,R520,8916.361692792909,65.59446973231886,Warehouse B,North Hub,Mr. Khan,High,UPI,Yes,Not Returned,Check packaging,21312.36434539064,1424 days,0.007356640745668588,70100.67453342707,Yes,Urgent,4.0,3.0,False
S427342,O36381,C5569,John Doe,john@example.com,916712246490,Unknown,India,South,110001.0,P5921,Tablet,Electronics,11.235196985833792,11.0,4624.872973105552,90097.76479821977,2022-06-02,2025-06-19,11.0,Delayed,Road,V711,Mr. Lee,Bike,R650,6853.33280857354,738.6984001823912,Warehouse A,Central,Mr. Patel,Low,Debit,Yes,Pending,No Remarks,50873.60270416107,1113 days,0.10778673979735484,83244.43198964623,Yes,Low,3.0,1.0,False
S639574,O65339,C2260,John Doe,jane@,919440752144,Unknown,Unknown,West,560001.0,P4181,Unknown,Electronics,59.44524960177323,7.0,2473.7388485041297,47175.32970533122,2020-02-23,2022-07-06,11.0,Delayed,Ship,V614,Mrs. Patel,Unknown,R612,6663.056267014754,151.0244465801482,Unknown,North Hub,Unknown,Medium,Debit,Unknown,Returned,Handle with care,17316.171939528907,864 days,0.022665941953363036,40512.273438316464,Yes,Normal,3.0,2.0,False
S694897,O55928,C7775,Michael Brown,jane@,918536798041,Mumbai,USA,South,400001.0,P2639,Mobile,Misc,80.31859958502694,13.0,3619.05414454862,148375.78601095933,2022-09-21,2023-08-30,9.0,Delivered,Road,V371,Mr. Lee,Unknown,R270,8607.49252558509,490.7450036521326,Warehouse B,Central,Mr. Patel,Medium,Debit,No,Unknown,Handle with care,47047.70387913206,343 days,0.057013700818610284,139768.29348537425,Yes,Normal,3.0,2.0,False
S789076,O58826,C3367,Li Wei,amit@gmail.com,916820876325,Unknown,india,North,400001.0,P4437,Charger,Furniture,92.22648638480013,16.0,4386.362714030262,97446.15289517608,2020-06-03,2020-12-26,12.0,Delivered,Air,V468,Mr. Lee,Bike,R525,2530.987075191979,1267.0122150755228,Warehouse A,North Hub,Ms. Verma,Medium,Debit,Yes,Pending,Check packaging,70181.8034244842,206 days,0.5006000336763546,94915.1658199841,Yes,Normal,3.0,2.0,False
S618003,O67221,C2313,Michael Brown,amit@gmail.com,918979222732,Chennai,Unknown,East,600001.0,P9366,Unknown,Furniture,82.95938216061697,13.0,802.3631791511527,52705.98887664019,2020-01-22,2022-02-19,12.0,In Transit,Rail,V831,Ms. Sharma,Cargo,R777,6853.33280857354,709.6553950141215,Hub C,Unknown,Ms. Verma,Medium,Credit,Yes,Pending,No Remarks,10430.721328964986,759 days,0.10354894688994827,45852.65606806665,Yes,Normal,2.0,2.0,False
S476484,O24048,C7410,Nan,amit@gmail.com,916066672764,mumbai,UK,South,400001.0,P6416,Tablet,Misc,49.770102556071386,11.0,4283.776422510859,131061.78180224224,2024-07-31,2024-12-30,0.0,Pending,Ship,V753,Mr. Lee,Cargo,R476,8553.133890518824,173.60676437137283,Warehouse A,South Hub,Mr. Khan,Unknown,Debit,Unknown,Unknown,No Remarks,47121.540647619455,152 days,0.020297444959188175,122508.64791172341,No,Unknown,3.0,0.0,False
S976996,O72852,C9298,Li Wei,amit@gmail.com,919228642734,mumbai,USA,West,400001.0,P9426,Unknown,Furniture,89.53532136755106,1.0,1457.3824505425428,189658.9030926553,2021-11-18,2024-05-15,2.0,Delivered,Road,V674,Mrs. Patel,Bike,R489,8138.8390000480385,1248.440027973224,Warehouse A,Unknown,Mr. Khan,Medium,Card,Unknown,Unknown,Check packaging,1457.3824505425428,909 days,0.15339288907986204,181520.06409260727,Yes,Normal,6.0,2.0,False
S777803,O75666,C9408,Nan,jane@,919138121270,Delhi,USA,South,0.0,P3517,Charger,Accessories,73.3333972102348,17.0,3232.275874206702,52705.98887664019,2020-10-09,2021-04-21,3.0,In Transit,Air,V842,Mr. Lee,Truck,R846,9138.029149244574,787.0087478115729,Warehouse B,Central,Mr. Patel,Low,UPI,Unknown,Unknown,Check packaging,54948.689861513936,194 days,0.08612456088265309,43567.95972739562,Yes,Low,4.0,1.0,False
